DATETIME,C,F
2019-08-27 15:39:07.119716,25,77
2019-08-27 15:40:27.147971,25,77
2019-08-27 15:59:02.022334,24.9375,76.8875
2019-08-27 16:59:01.977356,24.1875,75.5375
2019-08-27 16:59:23.507789,24.1875,75.5375
2019-08-27 17:15:10.951693,23.75,74.75
2019-08-27 17:59:02.001625,23.375,74.075
2019-08-27 18:30:01.929860,22.4375,72.3875
2019-08-27 18:40:01.806322,22.4375,72.3875
2019-08-27 18:50:01.562470,22.5625,72.6125
2019-08-27 19:00:02.338782,22.625,72.725
2019-08-27 19:10:02.148996,22.625,72.725
2019-08-27 19:20:02.054155,22.625,72.725
2019-08-27 19:30:01.805737,22.6875,72.8375
2019-08-27 19:40:01.619309,22.5625,72.6125
2019-08-27 19:50:01.351843,22.6875,72.8375
2019-08-27 20:00:02.105489,22.625,72.725
2019-08-27 20:10:01.930396,22.75,72.95
2019-08-27 20:20:01.738525,22.75,72.95
2019-08-27 20:30:01.439320,22.6875,72.8375
2019-08-27 20:40:02.242099,22.8125,73.0625
2019-08-27 20:50:01.992619,22.75,72.95
2019-08-27 21:00:01.738287,22.875,73.175
2019-08-27 21:10:01.613211,22.9375,73.2875
2019-08-27 21:20:01.410667,22.6875,72.8375
2019-08-27 21:30:02.078297,22.9375,73.2875
2019-08-27 21:40:01.866767,22.9375,73.2875
2019-08-27 21:50:01.574426,22.9375,73.2875
2019-08-27 22:00:02.368808,23.25,73.85
2019-08-27 22:10:02.205817,23.125,73.625
2019-08-27 22:20:02.050991,23.25,73.85
2019-08-27 22:30:01.812433,23.1875,73.7375
2019-08-27 22:40:01.609617,23.1875,73.7375
2019-08-27 22:50:01.596738,23.3125,73.9625
2019-08-27 23:00:01.376856,23.1875,73.7375
2019-08-27 23:10:02.213024,23.1875,73.7375
2019-08-27 23:20:02.060692,23.0625,73.5125
2019-08-27 23:30:01.813526,22.9375,73.2875
2019-08-27 23:40:01.577429,22.875,73.175
2019-08-27 23:50:02.307111,22.875,73.175
2019-08-28 00:00:02.102240,22.8125,73.0625
2019-08-28 00:10:01.889536,22.75,72.95
2019-08-28 00:20:01.683419,22.6875,72.8375
2019-08-28 00:30:01.347027,22.6875,72.8375
2019-08-28 00:40:02.204934,22.75,72.95
2019-08-28 00:50:01.902164,22.8125,73.0625
2019-08-28 01:00:01.712426,22.9375,73.2875
2019-08-28 01:10:01.527676,22.875,73.175
2019-08-28 01:20:02.317277,22.875,73.175
2019-08-28 01:30:02.059922,22.875,73.175
2019-08-28 01:40:01.876679,22.875,73.175
2019-08-28 01:50:01.599658,22.875,73.175
2019-08-28 02:00:02.271376,22.875,73.175
2019-08-28 02:10:02.083127,22.875,73.175
